output_dataset,output_filename_pattern,output_column,column_role,grain,is_calculated,calculation_rule,formula,source_layer,source_datasets,source_columns,depends_on_calculated_outputs,depends_on_calculated_columns,board_reporting_uses,prototype_upload_table,target_calc_engine,coverage_status,gap_or_risk_notes
mrr_waterfall,{Version}_MRR_Waterfall.csv,renewal_arr,measure,period,Y,ARR retained from existing customers before expansion/contraction/churn,SUM(customer renewal component) — often embedded in GRR/NRR rather than shown separately,operational_mart,mrr_waterfall_customer_level; subscriptions,ending_mrr;current_arr;status;contract_start_date,mrr_waterfall,beginning_arr,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,partial,Reference deck omits renewal line; expanded warehouse template includes it — align calc spec
income_statement,{Version}_IncomeStatement.csv,depreciation_amortization,measure,period,Y,D&A add-back,SUM(gl_actuals.amount WHERE account_group=D&A) OR non_cash_flag,operational_mart,gl_actuals,amount;account_group;non_cash_flag,,,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,partial,GL account mapping not yet codified in repo calc engine
income_statement,{Version}_IncomeStatement.csv,operating_income,measure,period,Y,Operating income,ebitda - depreciation_amortization,calculated,income_statement,ebitda;depreciation_amortization,income_statement,ebitda;depreciation_amortization,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,partial,
income_statement,{Version}_IncomeStatement.csv,net_income,measure,period,Y,Bottom-line net income,operating_income +/- interest/tax/other (policy-dependent),calculated,income_statement; gl_actuals,operating_income;amount;statement_category,income_statement,operating_income,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,gap,Interest/tax lines not in template — extend IS or document as out of scope
balance_sheet,{Version}_BalanceSheet.csv,accounts_receivable,measure,period,Y,AR balance,prior_ar + billings - collections OR revenue_schedule + DSO model,mixed,invoices; payments; revenue_schedule; working_capital_metrics,invoice_amount;payment_amount;billings;expected_collections;dso,revenue_schedule;working_capital_metrics,deferred_revenue_ending;expected_collections,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,partial,DSO-based roll-forward vs GL tie-out not fully specified
balance_sheet,{Version}_BalanceSheet.csv,accounts_payable,measure,period,Y,AP balance,SUM(gl_actuals liability AP) OR vendor payment schedule,mixed,gl_actuals; vendor_contracts,amount;vendor_id;payment_terms,,,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,partial,Vendor cash timing model not in templates
balance_sheet,{Version}_BalanceSheet.csv,prepaid_expenses,measure,period,Y,Prepaid assets,SUM(gl_actuals WHERE account_group=prepaid),mixed,gl_actuals,amount;account_group,,,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,gap,No prepaid source mapping in operational marts yet
balance_sheet,{Version}_BalanceSheet.csv,other_current_assets,measure,period,Y,Other current assets,SUM(gl_actuals WHERE balance_sheet bucket=other_current_assets),mixed,gl_actuals,amount;statement_category,,,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,gap,
balance_sheet,{Version}_BalanceSheet.csv,total_assets,measure,period,Y,Total assets,cash + accounts_receivable + deferred_revenue_asset_components + other assets,mixed,balance_sheet,cash;accounts_receivable;prepaid_expenses;other_current_assets,balance_sheet,cash;accounts_receivable;prepaid_expenses;other_current_assets,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,partial,Deferred revenue is liability — confirm asset composition policy
balance_sheet,{Version}_BalanceSheet.csv,total_liabilities,measure,period,Y,Total liabilities,deferred_revenue + accounts_payable + other liabilities,mixed,balance_sheet; gl_actuals,deferred_revenue;accounts_payable,balance_sheet,deferred_revenue;accounts_payable,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,partial,
balance_sheet,{Version}_BalanceSheet.csv,retained_earnings,measure,period,Y,Retained earnings roll-forward,prior_retained_earnings + net_income - dividends,mixed,balance_sheet; income_statement,net_income,income_statement;balance_sheet,net_income;equity,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,gap,Dividends / equity issuance not in source templates
cash_flow_bridge,{Version}_CashFlowBridge.csv,payroll_cash_out,measure,period,Y,Payroll disbursements,SUM(headcount_plan.total_people_cost) with payment lag policy,mixed,headcount_plan; workforce_employees,total_people_cost;monthly_payroll_cost;fully_loaded_cash_cost,headcount_plan,total_people_cost,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,partial,Payroll lag (N+1) not codified
cash_flow_bridge,{Version}_CashFlowBridge.csv,commission_cash_out,measure,period,Y,Commission payments,bookings * commission_plans rates with payout timing,mixed,commission_plans; opportunity_movements; sales_quotas,base_commission_rate;amount_arr;closed_won_arr_to_date,bookings_summary,gross_bookings_arr,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,gap,Commission payout engine not built
cash_flow_bridge,{Version}_CashFlowBridge.csv,vendor_cash_out_n30,measure,period,Y,Vendor/AP payments,SUM(vendor_contracts) by payment_terms lag,mixed,vendor_contracts; gl_actuals,annual_contract_value;payment_terms;amount,,,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,gap,
cash_flow_bridge,{Version}_CashFlowBridge.csv,tax_cash_out,measure,period,Y,Tax payments,Policy-based % of operating income or GL tax accounts,mixed,gl_actuals; income_statement,amount;net_income,income_statement,net_income,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,gap,No tax schedule source file
cash_flow_bridge,{Version}_CashFlowBridge.csv,interest_cash_out,measure,period,Y,Interest paid,GL interest expense cash-paid portion,mixed,gl_actuals,amount;account_group,,,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,gap,
cash_flow_bridge,{Version}_CashFlowBridge.csv,other_operating_cash_out,measure,period,Y,Other operating outflows,Residual operating cash out per GL/management policy,mixed,gl_actuals,amount;statement_category,,,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,gap,Catch-all — define exclusion rules
cash_flow_bridge,{Version}_CashFlowBridge.csv,capex,measure,period,Y,Capital expenditures,SUM(gl_actuals WHERE capex accounts) OR forecast assumption,mixed,gl_actuals; forecast_assumptions,amount;account_group;assumption,,,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,partial,
deferred_revenue_waterfall,{Version}_DeferredRevenueWaterfall.csv,revenue_recognized,measure,period,Y,GAAP revenue recognized,SUM(gl_actuals revenue) OR subscription ratable schedule,mixed,gl_actuals; subscriptions; invoices,amount;current_arr;service_period_start,income_statement,revenue,3-Statement; Revenue & ARR,{version}_deferred_revenue_waterfall,FIE-003,partial,Rev rec policy (ratable vs milestone) not codified
headcount_plan,{Version}_Headcount_Plan.csv,headcount_beginning,measure,period+department,Y,Opening headcount,prior_period.headcount_ending for same department,mixed,headcount_plan; workforce_employees,headcount_ending;employment_status,headcount_plan,,Workforce tab; Cash bridge payroll,{version}_headcount_plan,FIE-003,partial,Known gap: actual HC file is month-start not month-end
headcount_plan,{Version}_Headcount_Plan.csv,monthly_payroll_cost,measure,period+department,Y,Monthly payroll cash cost,SUM(workforce fully_loaded_cash_cost) for active employees in department,mixed,workforce_employees; workforce_compensation_bands,fully_loaded_cash_cost;base_salary;department,headcount_plan,,Workforce tab; Cash bridge payroll,{version}_headcount_plan,FIE-003,partial,
headcount_plan,{Version}_Headcount_Plan.csv,quota_capacity,measure,period+department,Y,Sales quota capacity,SUM(annual_quota_arr) for quota_carrying reps in period,mixed,workforce_employees; forecast_quota_capacity,quota_carrying;annual_quota_arr,headcount_plan,,Workforce tab; Cash bridge payroll,{version}_headcount_plan,FIE-003,partial,
marketing_pipeline,{Version}_MarketingPipeline.csv,marketing_spend,measure,period+marketing_channel,Y,Channel spend,SUM(gl_actuals marketing accounts) OR external ad export,mixed,gl_actuals,amount;department;marketing_channel,,,GTM/Marketing tab,{version}_marketing_pipeline,FIE-003,partial,No dedicated ad platform source template
marketing_pipeline,{Version}_MarketingPipeline.csv,mqls,measure,period+marketing_channel,Y,Marketing qualified leads,COUNT/aggregate from CRM/marketing system,mixed,CRM_Pipeline_Export,stage;marketing_channel,,,GTM/Marketing tab,{version}_marketing_pipeline,FIE-003,gap,MQL definition not in CRM export template
marketing_pipeline,{Version}_MarketingPipeline.csv,sqls,measure,period+marketing_channel,Y,Sales qualified leads,COUNT CRM leads at SQL stage,mixed,CRM_Pipeline_Export,stage,,,GTM/Marketing tab,{version}_marketing_pipeline,FIE-003,gap,
marketing_pipeline,{Version}_MarketingPipeline.csv,cost_per_mql,rate,period+marketing_channel,Y,Cost per MQL,marketing_spend / mqls,mixed,marketing_pipeline,marketing_spend;mqls,marketing_pipeline,marketing_spend;mqls,GTM/Marketing tab,{version}_marketing_pipeline,FIE-003,partial,Depends on mqls gap
