output_dataset,output_filename_pattern,output_column,column_role,grain,is_calculated,calculation_rule,formula,source_layer,source_datasets,source_columns,depends_on_calculated_outputs,depends_on_calculated_columns,board_reporting_uses,prototype_upload_table,target_calc_engine,coverage_status,gap_or_risk_notes
mrr_waterfall,{Version}_MRR_Waterfall.csv,period,key,period,N,Pass-through period key,,calculated,,,,,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,complete,
mrr_waterfall,{Version}_MRR_Waterfall.csv,beginning_arr,measure,period,Y,Point-in-time opening ARR for the period,prior_period.ending_arr OR SUM(customer.beginning_mrr)*12 at period start,operational_mart,mrr_waterfall_customer_level; Billing_Subscription_Export,period;ending_mrr;current_arr;start_date;end_date,mrr_waterfall,prior_period.ending_arr,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,complete,Do not sum beginning_arr across months for YTD subtotals
mrr_waterfall,{Version}_MRR_Waterfall.csv,renewal_arr,measure,period,Y,ARR retained from existing customers before expansion/contraction/churn,SUM(customer renewal component) — often embedded in GRR/NRR rather than shown separately,operational_mart,mrr_waterfall_customer_level; subscriptions,ending_mrr;current_arr;status;contract_start_date,mrr_waterfall,beginning_arr,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,partial,Reference deck omits renewal line; expanded warehouse template includes it — align calc spec
mrr_waterfall,{Version}_MRR_Waterfall.csv,new_business_arr,measure,period,Y,New logo ARR added in period,SUM(new_mrr)*12 WHERE movement_type=new OR first subscription in period,operational_mart,mrr_waterfall_customer_level; Billing_Subscription_Export; CRM_Opportunity_Export,new_mrr;movement_type;amount_arr;opportunity_type;close_date,,,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,complete,
mrr_waterfall,{Version}_MRR_Waterfall.csv,expansion_arr,measure,period,Y,Upsell / seat expansion from existing customers,SUM(expansion_mrr)*12 from customer-level waterfall,operational_mart,mrr_waterfall_customer_level; subscriptions,expansion_mrr;current_mrr;movement_type,,,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,complete,Store as negative in some sources; display as positive absolute in UI
mrr_waterfall,{Version}_MRR_Waterfall.csv,contraction_arr,measure,period,Y,Downgrade ARR from existing customers,SUM(contraction_mrr)*12 (negative in source data),operational_mart,mrr_waterfall_customer_level; subscriptions,contraction_mrr;movement_type,,,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,complete,Display as positive absolute in board waterfall rows
mrr_waterfall,{Version}_MRR_Waterfall.csv,churn_arr,measure,period,Y,Full customer loss ARR,SUM(churn_mrr)*12 (negative in source data),operational_mart,mrr_waterfall_customer_level; subscriptions; Billing_Subscription_Export,churn_mrr;status;end_date;movement_type,,,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,complete,
mrr_waterfall,{Version}_MRR_Waterfall.csv,reactivation_arr,measure,period,Y,Reactivated churned customer ARR,SUM(reactivation_mrr)*12,operational_mart,mrr_waterfall_customer_level,reactivation_mrr;movement_type,,,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,complete,
mrr_waterfall,{Version}_MRR_Waterfall.csv,net_new_arr,measure,period,Y,Net ARR movement excluding opening balance,new_business_arr + expansion_arr + contraction_arr + churn_arr + reactivation_arr,operational_mart,mrr_waterfall,new_business_arr;expansion_arr;contraction_arr;churn_arr;reactivation_arr,mrr_waterfall,new_business_arr;expansion_arr;contraction_arr;churn_arr;reactivation_arr,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,complete,Summed across months for YTD net new; beginning/ending are point-in-time
mrr_waterfall,{Version}_MRR_Waterfall.csv,ending_arr,measure,period,Y,Point-in-time closing ARR,beginning_arr + net_new_arr OR SUM(customer.ending_mrr)*12,operational_mart,mrr_waterfall_customer_level; mrr_waterfall,ending_mrr;beginning_arr;net_new_arr,mrr_waterfall,beginning_arr;net_new_arr,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,complete,Chains to next period beginning_arr
mrr_waterfall,{Version}_MRR_Waterfall.csv,gross_retention_rate,rate,period,Y,Gross dollar retention,(beginning_arr + contraction_arr + churn_arr) / beginning_arr,operational_mart,mrr_waterfall,beginning_arr;contraction_arr;churn_arr,mrr_waterfall,beginning_arr;contraction_arr;churn_arr,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,complete,Denominator zero-guard required
mrr_waterfall,{Version}_MRR_Waterfall.csv,net_dollar_retention_rate,rate,period,Y,Net dollar retention (NRR),(beginning_arr + expansion_arr + contraction_arr + churn_arr) / beginning_arr,operational_mart,mrr_waterfall,beginning_arr;expansion_arr;contraction_arr;churn_arr,mrr_waterfall,beginning_arr;expansion_arr;contraction_arr;churn_arr,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,complete,Reference: (Expansion+Contraction+Churn)/Beginning + 1 when using decimal form
mrr_waterfall,{Version}_MRR_Waterfall.csv,waterfall_check,validation,period,Y,Reconciliation flag,ABS(ending_arr - (beginning_arr + net_new_arr)) < tolerance,operational_mart,mrr_waterfall,ending_arr;beginning_arr;net_new_arr,mrr_waterfall,ending_arr;beginning_arr;net_new_arr,ARR Waterfall tab; Executive Summary; Board deck,{version}_mrr_waterfall,FIE-003,complete,Fail closed in calc engine when check fails
income_statement,{Version}_IncomeStatement.csv,period,key,period,N,,,calculated,,,,,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,complete,
income_statement,{Version}_IncomeStatement.csv,revenue,measure,period,Y,GAAP revenue for period,SUM(gl_actuals.amount WHERE statement=income AND category=revenue) OR revenue_schedule.recognized_revenue,operational_mart,gl_actuals; forecast_revenue_schedule; Actual_DeferredRevenueWaterfall,amount;statement_category;recognized_revenue;revenue_recognized,deferred_revenue_waterfall;revenue_schedule,revenue_recognized;recognized_revenue,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,complete,
income_statement,{Version}_IncomeStatement.csv,cost_of_revenue,measure,period,Y,COGS,SUM(gl_actuals.amount WHERE category=cost_of_revenue),operational_mart,gl_actuals,amount;statement_category;account_group,,,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,complete,
income_statement,{Version}_IncomeStatement.csv,gross_profit,measure,period,Y,Revenue minus COGS,revenue - cost_of_revenue,calculated,income_statement,revenue;cost_of_revenue,income_statement,revenue;cost_of_revenue,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,complete,
income_statement,{Version}_IncomeStatement.csv,gross_margin_percent,rate,period,Y,Gross margin ratio,gross_profit / revenue,calculated,income_statement,gross_profit;revenue,income_statement,gross_profit;revenue,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,complete,
income_statement,{Version}_IncomeStatement.csv,sales_and_marketing,measure,period,Y,S&M OpEx,SUM(gl_actuals.amount WHERE department/function maps to S&M),operational_mart,gl_actuals; workforce_department_allocation_rules,amount;department;statement_category;allocation_pct,,,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,complete,Requires department→P&L mapping table
income_statement,{Version}_IncomeStatement.csv,research_and_development,measure,period,Y,R&D OpEx,SUM(gl_actuals.amount WHERE department/function maps to R&D),operational_mart,gl_actuals,amount;department;statement_category,,,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,complete,
income_statement,{Version}_IncomeStatement.csv,general_and_administrative,measure,period,Y,G&A OpEx,SUM(gl_actuals.amount WHERE department/function maps to G&A),operational_mart,gl_actuals,amount;department;statement_category,,,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,complete,
income_statement,{Version}_IncomeStatement.csv,total_opex,measure,period,Y,Total operating expense,sales_and_marketing + research_and_development + general_and_administrative,calculated,income_statement,sales_and_marketing;research_and_development;general_and_administrative,income_statement,sales_and_marketing;research_and_development;general_and_administrative,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,complete,
income_statement,{Version}_IncomeStatement.csv,ebitda,measure,period,Y,EBITDA,gross_profit - total_opex (excl D&A below EBITDA line per policy),calculated,income_statement,gross_profit;total_opex,income_statement,gross_profit;total_opex,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,complete,Confirm D&A treatment vs operating_income line
income_statement,{Version}_IncomeStatement.csv,depreciation_amortization,measure,period,Y,D&A add-back,SUM(gl_actuals.amount WHERE account_group=D&A) OR non_cash_flag,operational_mart,gl_actuals,amount;account_group;non_cash_flag,,,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,partial,GL account mapping not yet codified in repo calc engine
income_statement,{Version}_IncomeStatement.csv,operating_income,measure,period,Y,Operating income,ebitda - depreciation_amortization,calculated,income_statement,ebitda;depreciation_amortization,income_statement,ebitda;depreciation_amortization,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,partial,
income_statement,{Version}_IncomeStatement.csv,net_income,measure,period,Y,Bottom-line net income,operating_income +/- interest/tax/other (policy-dependent),calculated,income_statement; gl_actuals,operating_income;amount;statement_category,income_statement,operating_income,3-Statement tab; Management P&L; MDA Excel,{version}_income_statement,FIE-003,gap,Interest/tax lines not in template — extend IS or document as out of scope
balance_sheet,{Version}_BalanceSheet.csv,period,key,period,N,,,mixed,,,,,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,complete,
balance_sheet,{Version}_BalanceSheet.csv,cash,measure,period,Y,Cash balance at period end,cash_flow_bridge.ending_cash for same period,mixed,cash_flow_bridge,ending_cash;period,cash_flow_bridge,ending_cash,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,complete,Must chain from bridge not forecast opening cash
balance_sheet,{Version}_BalanceSheet.csv,accounts_receivable,measure,period,Y,AR balance,prior_ar + billings - collections OR revenue_schedule + DSO model,mixed,invoices; payments; revenue_schedule; working_capital_metrics,invoice_amount;payment_amount;billings;expected_collections;dso,revenue_schedule;working_capital_metrics,deferred_revenue_ending;expected_collections,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,partial,DSO-based roll-forward vs GL tie-out not fully specified
balance_sheet,{Version}_BalanceSheet.csv,deferred_revenue,measure,period,Y,Deferred revenue liability,deferred_revenue_waterfall.ending_deferred,mixed,deferred_revenue_waterfall,ending_deferred,deferred_revenue_waterfall,ending_deferred,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,complete,
balance_sheet,{Version}_BalanceSheet.csv,accounts_payable,measure,period,Y,AP balance,SUM(gl_actuals liability AP) OR vendor payment schedule,mixed,gl_actuals; vendor_contracts,amount;vendor_id;payment_terms,,,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,partial,Vendor cash timing model not in templates
balance_sheet,{Version}_BalanceSheet.csv,prepaid_expenses,measure,period,Y,Prepaid assets,SUM(gl_actuals WHERE account_group=prepaid),mixed,gl_actuals,amount;account_group,,,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,gap,No prepaid source mapping in operational marts yet
balance_sheet,{Version}_BalanceSheet.csv,other_current_assets,measure,period,Y,Other current assets,SUM(gl_actuals WHERE balance_sheet bucket=other_current_assets),mixed,gl_actuals,amount;statement_category,,,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,gap,
balance_sheet,{Version}_BalanceSheet.csv,total_assets,measure,period,Y,Total assets,cash + accounts_receivable + deferred_revenue_asset_components + other assets,mixed,balance_sheet,cash;accounts_receivable;prepaid_expenses;other_current_assets,balance_sheet,cash;accounts_receivable;prepaid_expenses;other_current_assets,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,partial,Deferred revenue is liability — confirm asset composition policy
balance_sheet,{Version}_BalanceSheet.csv,total_liabilities,measure,period,Y,Total liabilities,deferred_revenue + accounts_payable + other liabilities,mixed,balance_sheet; gl_actuals,deferred_revenue;accounts_payable,balance_sheet,deferred_revenue;accounts_payable,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,partial,
balance_sheet,{Version}_BalanceSheet.csv,equity,measure,period,Y,Total equity,total_assets - total_liabilities,mixed,balance_sheet,total_assets;total_liabilities,balance_sheet,total_assets;total_liabilities,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,complete,
balance_sheet,{Version}_BalanceSheet.csv,retained_earnings,measure,period,Y,Retained earnings roll-forward,prior_retained_earnings + net_income - dividends,mixed,balance_sheet; income_statement,net_income,income_statement;balance_sheet,net_income;equity,3-Statement tab; Board deck,{version}_balance_sheet,FIE-003,gap,Dividends / equity issuance not in source templates
cash_flow_bridge,{Version}_CashFlowBridge.csv,period,key,period,N,,,mixed,,,,,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,complete,
cash_flow_bridge,{Version}_CashFlowBridge.csv,beginning_cash,measure,period,Y,Opening cash,prior_period.ending_cash (Actual chains to Forecast at handoff month),mixed,cash_flow_bridge,ending_cash,cash_flow_bridge,prior_period.ending_cash,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,complete,Jul beginning_cash = Jun actual ending_cash — not forecast model opening
cash_flow_bridge,{Version}_CashFlowBridge.csv,collections,measure,period,Y,Cash collected,SUM(payments.payment_amount) OR revenue_schedule.expected_collections,mixed,payments; revenue_schedule; invoices,payment_amount;payment_date;expected_collections,revenue_schedule,expected_collections,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,complete,
cash_flow_bridge,{Version}_CashFlowBridge.csv,payroll_cash_out,measure,period,Y,Payroll disbursements,SUM(headcount_plan.total_people_cost) with payment lag policy,mixed,headcount_plan; workforce_employees,total_people_cost;monthly_payroll_cost;fully_loaded_cash_cost,headcount_plan,total_people_cost,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,partial,Payroll lag (N+1) not codified
cash_flow_bridge,{Version}_CashFlowBridge.csv,commission_cash_out,measure,period,Y,Commission payments,bookings * commission_plans rates with payout timing,mixed,commission_plans; opportunity_movements; sales_quotas,base_commission_rate;amount_arr;closed_won_arr_to_date,bookings_summary,gross_bookings_arr,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,gap,Commission payout engine not built
cash_flow_bridge,{Version}_CashFlowBridge.csv,vendor_cash_out_n30,measure,period,Y,Vendor/AP payments,SUM(vendor_contracts) by payment_terms lag,mixed,vendor_contracts; gl_actuals,annual_contract_value;payment_terms;amount,,,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,gap,
cash_flow_bridge,{Version}_CashFlowBridge.csv,tax_cash_out,measure,period,Y,Tax payments,Policy-based % of operating income or GL tax accounts,mixed,gl_actuals; income_statement,amount;net_income,income_statement,net_income,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,gap,No tax schedule source file
cash_flow_bridge,{Version}_CashFlowBridge.csv,interest_cash_out,measure,period,Y,Interest paid,GL interest expense cash-paid portion,mixed,gl_actuals,amount;account_group,,,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,gap,
cash_flow_bridge,{Version}_CashFlowBridge.csv,other_operating_cash_out,measure,period,Y,Other operating outflows,Residual operating cash out per GL/management policy,mixed,gl_actuals,amount;statement_category,,,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,gap,Catch-all — define exclusion rules
cash_flow_bridge,{Version}_CashFlowBridge.csv,capex,measure,period,Y,Capital expenditures,SUM(gl_actuals WHERE capex accounts) OR forecast assumption,mixed,gl_actuals; forecast_assumptions,amount;account_group;assumption,,,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,partial,
cash_flow_bridge,{Version}_CashFlowBridge.csv,financing_to_maintain_cash_floor,measure,period,Y,Financing draw if below floor,"MAX(0, cash_floor - projected_ending_cash_before_financing)",mixed,cash_flow_bridge,cash_floor;ending_cash,cash_flow_bridge,cash_floor,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,complete,Only non-zero when floor breached
cash_flow_bridge,{Version}_CashFlowBridge.csv,ending_cash,measure,period,Y,Closing cash,beginning_cash + collections - outflows - capex + financing,mixed,cash_flow_bridge,beginning_cash;collections;payroll_cash_out;commission_cash_out;vendor_cash_out_n30,cash_flow_bridge,beginning_cash;collections;all_outflows,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,complete,Feeds balance_sheet.cash
cash_flow_bridge,{Version}_CashFlowBridge.csv,cash_floor,assumption,period,Y,Minimum operating cash policy,forecast_assumptions or customer config,mixed,forecast_assumptions,assumption;value,,,Cash Forecast tab; 3-Statement cash tie,{version}_cash_flow_bridge,FIE-003,complete,
deferred_revenue_waterfall,{Version}_DeferredRevenueWaterfall.csv,period,key,period,N,,,mixed,,,,,3-Statement; Revenue & ARR,{version}_deferred_revenue_waterfall,FIE-003,complete,
deferred_revenue_waterfall,{Version}_DeferredRevenueWaterfall.csv,beginning_deferred,measure,period,Y,Opening deferred revenue,prior_period.ending_deferred,mixed,deferred_revenue_waterfall,ending_deferred,deferred_revenue_waterfall,prior_period.ending_deferred,3-Statement; Revenue & ARR,{version}_deferred_revenue_waterfall,FIE-003,complete,
deferred_revenue_waterfall,{Version}_DeferredRevenueWaterfall.csv,billings,measure,period,Y,New billings in period,SUM(invoices.invoice_amount WHERE service_period in period),mixed,invoices; Billing_Invoice_Register,invoice_amount;invoice_date;service_period_start;service_period_end,,,3-Statement; Revenue & ARR,{version}_deferred_revenue_waterfall,FIE-003,complete,
deferred_revenue_waterfall,{Version}_DeferredRevenueWaterfall.csv,revenue_recognized,measure,period,Y,GAAP revenue recognized,SUM(gl_actuals revenue) OR subscription ratable schedule,mixed,gl_actuals; subscriptions; invoices,amount;current_arr;service_period_start,income_statement,revenue,3-Statement; Revenue & ARR,{version}_deferred_revenue_waterfall,FIE-003,partial,Rev rec policy (ratable vs milestone) not codified
deferred_revenue_waterfall,{Version}_DeferredRevenueWaterfall.csv,ending_deferred,measure,period,Y,Closing deferred revenue,beginning_deferred + billings - revenue_recognized,mixed,deferred_revenue_waterfall,beginning_deferred;billings;revenue_recognized,deferred_revenue_waterfall,beginning_deferred;billings;revenue_recognized,3-Statement; Revenue & ARR,{version}_deferred_revenue_waterfall,FIE-003,complete,Feeds balance_sheet.deferred_revenue
headcount_plan,{Version}_Headcount_Plan.csv,period,key,period+department,N,,,mixed,,,,,Workforce tab; Cash bridge payroll,{version}_headcount_plan,FIE-003,complete,
headcount_plan,{Version}_Headcount_Plan.csv,department,key,period+department,N,,,mixed,,,,,Workforce tab; Cash bridge payroll,{version}_headcount_plan,FIE-003,complete,
headcount_plan,{Version}_Headcount_Plan.csv,headcount_beginning,measure,period+department,Y,Opening headcount,prior_period.headcount_ending for same department,mixed,headcount_plan; workforce_employees,headcount_ending;employment_status,headcount_plan,,Workforce tab; Cash bridge payroll,{version}_headcount_plan,FIE-003,partial,Known gap: actual HC file is month-start not month-end
headcount_plan,{Version}_Headcount_Plan.csv,new_hires,measure,period+department,Y,Hires in period,COUNT(workforce_employees WHERE hire_date in period),mixed,workforce_employees; HRIS_Employee_Roster,hire_date;employment_status,headcount_plan,,Workforce tab; Cash bridge payroll,{version}_headcount_plan,FIE-003,complete,
headcount_plan,{Version}_Headcount_Plan.csv,attrition,measure,period+department,Y,Departures in period,COUNT(workforce_employees WHERE termination_date in period),mixed,workforce_employees,termination_date;employment_status,headcount_plan,,Workforce tab; Cash bridge payroll,{version}_headcount_plan,FIE-003,complete,
headcount_plan,{Version}_Headcount_Plan.csv,headcount_ending,measure,period+department,Y,Closing headcount,headcount_beginning + new_hires - attrition,mixed,headcount_plan,headcount_beginning;new_hires;attrition,headcount_plan,,Workforce tab; Cash bridge payroll,{version}_headcount_plan,FIE-003,complete,
